epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22332.3,1.35205,1.12786,1.26396,0.60015,0.68898,0.66587,0.40523,1.33154,0.95104,1.2372,0.005842,0.005842,0.005842
44,22855.1,1.34976,1.12496,1.25982,0.60156,0.69204,0.66709,0.40633,1.33054,0.94878,1.23593,0.005743,0.005743,0.005743
45,23378.8,1.34701,1.11854,1.25821,0.60044,0.69363,0.66833,0.40732,1.32971,0.94633,1.23456,0.005644,0.005644,0.005644
46,23900.1,1.34472,1.11558,1.25776,0.60118,0.69399,0.66919,0.40805,1.32886,0.94355,1.23341,0.005545,0.005545,0.005545
47,24421.1,1.34126,1.11144,1.25532,0.60121,0.69543,0.66987,0.4088,1.32794,0.94104,1.23215,0.005446,0.005446,0.005446
48,24944.4,1.34395,1.10495,1.25258,0.60137,0.69546,0.67099,0.40982,1.32716,0.93868,1.23106,0.005347,0.005347,0.005347
49,25467,1.33843,1.10288,1.25178,0.60228,0.69602,0.67149,0.41024,1.32629,0.93629,1.22989,0.005248,0.005248,0.005248
50,25990.8,1.33778,1.09926,1.24945,0.60351,0.69641,0.67221,0.41095,1.32573,0.93397,1.22862,0.005149,0.005149,0.005149
51,26511.3,1.33412,1.08974,1.24503,0.60399,0.69778,0.67358,0.41222,1.32481,0.93123,1.22721,0.00505,0.00505,0.00505
52,27038.1,1.33004,1.08691,1.24691,0.60681,0.69709,0.67453,0.41281,1.32384,0.92891,1.226,0.004951,0.004951,0.004951
53,27561.7,1.33484,1.08571,1.24643,0.60706,0.69741,0.67553,0.41374,1.32295,0.92678,1.2247,0.004852,0.004852,0.004852
54,28081.2,1.32813,1.07929,1.24158,0.60877,0.69694,0.67647,0.41449,1.32217,0.92465,1.22349,0.004753,0.004753,0.004753
55,28605.8,1.32513,1.07469,1.23825,0.61063,0.69551,0.67743,0.41517,1.32143,0.92284,1.22224,0.004654,0.004654,0.004654
56,29135.2,1.32155,1.07198,1.23729,0.61142,0.69621,0.67836,0.41576,1.32068,0.92077,1.22102,0.004555,0.004555,0.004555
57,29656.2,1.32549,1.07131,1.2364,0.61062,0.6975,0.67901,0.41657,1.31994,0.9188,1.21963,0.004456,0.004456,0.004456
58,30185,1.31929,1.06176,1.23289,0.61058,0.69741,0.67988,0.41753,1.31926,0.91661,1.21822,0.004357,0.004357,0.004357
59,30711.2,1.31165,1.05978,1.23307,0.61245,0.69633,0.68098,0.41796,1.3184,0.91438,1.21701,0.004258,0.004258,0.004258
60,31237.7,1.31714,1.05398,1.23272,0.61311,0.6971,0.68151,0.41814,1.31763,0.91229,1.21569,0.004159,0.004159,0.004159
61,31765,1.31222,1.05012,1.23173,0.61334,0.69833,0.682,0.41855,1.3168,0.91017,1.2145,0.00406,0.00406,0.00406
62,32292,1.3114,1.04757,1.22958,0.61229,0.70118,0.68261,0.4194,1.31647,0.90781,1.21347,0.003961,0.003961,0.003961
63,32813.6,1.31018,1.04498,1.22698,0.61211,0.70332,0.6831,0.42012,1.31576,0.90621,1.21216,0.003862,0.003862,0.003862
64,33337.1,1.31282,1.04068,1.2274,0.61301,0.70501,0.68416,0.42106,1.31483,0.90431,1.21087,0.003763,0.003763,0.003763
65,33860.8,1.30113,1.03266,1.22061,0.61394,0.70662,0.68456,0.42129,1.31378,0.90271,1.20951,0.003664,0.003664,0.003664
66,34386,1.30195,1.02962,1.21976,0.61343,0.70685,0.68516,0.42206,1.31309,0.90133,1.20843,0.003565,0.003565,0.003565
67,34907,1.29884,1.02298,1.2195,0.61409,0.70698,0.68565,0.42252,1.31212,0.89954,1.20719,0.003466,0.003466,0.003466
68,35426.8,1.2974,1.02053,1.21534,0.61672,0.70544,0.68609,0.42281,1.31151,0.8979,1.20605,0.003367,0.003367,0.003367
69,35949.4,1.29569,1.02167,1.21687,0.61857,0.70342,0.68627,0.42311,1.31083,0.89649,1.20491,0.003268,0.003268,0.003268
70,36470.9,1.28884,1.01484,1.21445,0.61509,0.70844,0.68698,0.42335,1.31001,0.89495,1.20385,0.003169,0.003169,0.003169
