epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,61940.3,1.32389,1.07612,1.36384,0.72471,0.71796,0.75169,0.45868,1.29441,0.79708,1.35509,0.000828443,0.000828443,0.000828443
43,63411.8,1.32334,1.07224,1.36071,0.72887,0.71919,0.75296,0.46046,1.29179,0.79119,1.35305,0.000820525,0.000820525,0.000820525
44,64883.5,1.31954,1.06567,1.35809,0.72872,0.72096,0.75503,0.46237,1.28874,0.78627,1.35068,0.000812468,0.000812468,0.000812468
45,66353.6,1.31943,1.06473,1.35901,0.72653,0.72449,0.75689,0.46411,1.28553,0.78129,1.34834,0.000804277,0.000804277,0.000804277
46,67824.5,1.31918,1.06022,1.35709,0.72455,0.72785,0.75821,0.46601,1.28291,0.77747,1.34667,0.000795954,0.000795954,0.000795954
47,69296.3,1.31386,1.05238,1.35377,0.73055,0.72717,0.75983,0.46699,1.28015,0.77305,1.34466,0.000787503,0.000787503,0.000787503
48,70767.1,1.30972,1.04966,1.3495,0.72889,0.72934,0.76168,0.469,1.27792,0.76842,1.34292,0.000778929,0.000778929,0.000778929
49,72239.5,1.31383,1.04596,1.35175,0.72892,0.73062,0.76217,0.47023,1.2757,0.76418,1.34116,0.000770234,0.000770234,0.000770234
50,73710.4,1.30656,1.03953,1.34942,0.72689,0.73682,0.76362,0.47145,1.27353,0.76032,1.33977,0.000761423,0.000761423,0.000761423
51,75181,1.30682,1.03578,1.34578,0.72848,0.73763,0.76543,0.47252,1.27136,0.75652,1.33812,0.0007525,0.0007525,0.0007525
52,76653.3,1.30326,1.03342,1.34529,0.73322,0.7377,0.76697,0.47376,1.26939,0.75293,1.33676,0.000743468,0.000743468,0.000743468
53,78124.9,1.30388,1.03048,1.34577,0.73007,0.7411,0.7688,0.47527,1.26727,0.7493,1.33499,0.000734332,0.000734332,0.000734332
54,79595.5,1.29947,1.02526,1.34169,0.73126,0.7421,0.76947,0.47659,1.26525,0.74598,1.33323,0.000725094,0.000725094,0.000725094
55,81067.2,1.29913,1.02092,1.34112,0.73319,0.74323,0.77067,0.47768,1.26342,0.74286,1.33183,0.000715761,0.000715761,0.000715761
56,82541,1.29474,1.01962,1.33667,0.73279,0.74751,0.77223,0.47914,1.26164,0.73998,1.33001,0.000706335,0.000706335,0.000706335
57,84015.4,1.29756,1.01574,1.33739,0.73614,0.74612,0.77266,0.48048,1.26004,0.73709,1.3285,0.00069682,0.00069682,0.00069682
58,85489.6,1.2936,1.01006,1.33265,0.74162,0.74347,0.77353,0.48153,1.25829,0.73428,1.32678,0.000687222,0.000687222,0.000687222
59,86964,1.29007,1.01047,1.33564,0.73969,0.74604,0.77533,0.48236,1.25616,0.73173,1.32517,0.000677543,0.000677543,0.000677543
60,88437.6,1.28802,1.00248,1.33237,0.73779,0.74931,0.77534,0.48318,1.25428,0.72882,1.32337,0.000667789,0.000667789,0.000667789
61,89912.5,1.28855,1.00191,1.32904,0.73729,0.75048,0.77671,0.48475,1.25261,0.72629,1.32162,0.000657963,0.000657963,0.000657963
62,91387.4,1.28781,0.99704,1.32745,0.73798,0.7518,0.77795,0.48576,1.25124,0.72459,1.3203,0.000648071,0.000648071,0.000648071
63,92861.4,1.2856,0.99547,1.32785,0.74239,0.75089,0.77828,0.48667,1.24963,0.72226,1.3188,0.000638115,0.000638115,0.000638115
64,94336.8,1.28127,0.99296,1.3249,0.74457,0.75112,0.77948,0.48756,1.24815,0.72094,1.3174,0.000628101,0.000628101,0.000628101
65,95811.1,1.2797,0.98757,1.3257,0.74648,0.7521,0.78008,0.48795,1.24651,0.71876,1.3162,0.000618034,0.000618034,0.000618034
66,97284.6,1.27655,0.98546,1.32113,0.7456,0.75466,0.78064,0.48869,1.2456,0.71697,1.31509,0.000607916,0.000607916,0.000607916
67,98758.1,1.27505,0.98014,1.31962,0.74426,0.75853,0.78127,0.48951,1.24434,0.71503,1.31374,0.000597754,0.000597754,0.000597754
68,100233,1.27411,0.976,1.32086,0.74614,0.7567,0.78145,0.48998,1.243,0.71288,1.31249,0.000587551,0.000587551,0.000587551
69,101707,1.26895,0.97122,1.31797,0.74713,0.75719,0.78137,0.49108,1.24193,0.71158,1.3117,0.000577311,0.000577311,0.000577311
70,103181,1.27106,0.96793,1.32083,0.74709,0.75964,0.782,0.49131,1.24106,0.70981,1.31105,0.00056704,0.00056704,0.00056704
71,104654,1.26982,0.97036,1.31793,0.74706,0.75993,0.78209,0.49173,1.23982,0.70848,1.30981,0.000556742,0.000556742,0.000556742
72,106128,1.26487,0.96474,1.31603,0.74638,0.76236,0.78297,0.4921,1.23834,0.7066,1.30828,0.000546421,0.000546421,0.000546421
73,107603,1.26607,0.96678,1.31764,0.74851,0.76357,0.7829,0.49284,1.23732,0.7056,1.30725,0.000536081,0.000536081,0.000536081
74,109077,1.26321,0.96092,1.31314,0.74734,0.76278,0.78335,0.49314,1.23629,0.70414,1.30636,0.000525728,0.000525728,0.000525728
75,110551,1.26226,0.95252,1.30895,0.7477,0.76194,0.78331,0.49339,1.23524,0.703,1.30535,0.000515366,0.000515366,0.000515366
76,112027,1.25988,0.95192,1.30848,0.74565,0.76221,0.78329,0.49419,1.23425,0.70176,1.30462,0.000505,0.000505,0.000505
77,113502,1.2616,0.95555,1.31217,0.7428,0.76524,0.7837,0.49452,1.2331,0.70037,1.30383,0.000494634,0.000494634,0.000494634
78,114975,1.2559,0.94752,1.30796,0.74297,0.76776,0.78424,0.49556,1.23202,0.69916,1.30296,0.000484272,0.000484272,0.000484272
79,116451,1.25578,0.94913,1.308,0.74802,0.76394,0.78477,0.49585,1.23044,0.69831,1.30183,0.000473919,0.000473919,0.000473919
80,117926,1.25047,0.94358,1.30453,0.74472,0.76692,0.78469,0.49636,1.22946,0.69742,1.30106,0.000463579,0.000463579,0.000463579
81,119400,1.25412,0.94423,1.30384,0.74447,0.76714,0.78512,0.49687,1.22879,0.69663,1.30045,0.000453258,0.000453258,0.000453258
82,120874,1.2471,0.93939,1.30132,0.74478,0.76893,0.78471,0.49658,1.22781,0.69618,1.29957,0.00044296,0.00044296,0.00044296
83,122347,1.24821,0.93668,1.30608,0.74357,0.77146,0.78543,0.49679,1.22694,0.69523,1.2992,0.000432689,0.000432689,0.000432689
84,123821,1.24851,0.93585,1.30325,0.74271,0.77332,0.78592,0.49728,1.22609,0.69426,1.29884,0.000422449,0.000422449,0.000422449
85,125294,1.24529,0.92945,1.3004,0.74395,0.77326,0.78582,0.49748,1.22539,0.69383,1.29845,0.000412246,0.000412246,0.000412246
86,126768,1.24515,0.92894,1.29706,0.74491,0.77481,0.78627,0.49738,1.22482,0.69292,1.29812,0.000402084,0.000402084,0.000402084
87,128242,1.24394,0.92718,1.29812,0.74457,0.775,0.78644,0.49779,1.2245,0.69206,1.29777,0.000391966,0.000391966,0.000391966
88,129715,1.23942,0.92237,1.29945,0.74565,0.77571,0.7867,0.49825,1.22367,0.69127,1.29721,0.000381899,0.000381899,0.000381899
89,131188,1.23883,0.9212,1.29744,0.74754,0.7747,0.78749,0.49799,1.22329,0.69091,1.29682,0.000371885,0.000371885,0.000371885
90,132662,1.23746,0.91614,1.29454,0.74716,0.77612,0.78793,0.49823,1.22313,0.69006,1.29654,0.000361929,0.000361929,0.000361929
